TSEcod;IBGEcod;Municipio;UF;COD_UF_IBGE;UF_MUN;MAPA_2010;ELE_MUN_2008
00310;1100015;ALTA FLORESTA D OESTE;RO;11;RO_ALTA FLORESTA D OESTE;SIM;SIM
00078;1100023;ARIQUEMES;RO;11;RO_ARIQUEMES;SIM;SIM
00450;1100031;CABIXI;RO;11;RO_CABIXI;SIM;SIM
00094;1100049;CACOAL;RO;11;RO_CACOAL;SIM;SIM
00272;1100056;CEREJEIRAS;RO;11;RO_CEREJEIRAS;SIM;SIM
00230;1100064;COLORADO DO OESTE;RO;11;RO_COLORADO DO OESTE;SIM;SIM
00655;1100072;CORUMBIARA;RO;11;RO_CORUMBIARA;SIM;SIM
00213;1100080;COSTA MARQUES;RO;11;RO_COSTA MARQUES;SIM;SIM
00256;1100098;ESPIGAO D OESTE;RO;11;RO_ESPIGAO D OESTE;SIM;SIM
00019;1100106;GUAJARA MIRIM;RO;11;RO_GUAJARA MIRIM;SIM;SIM
00159;1100114;JARU;RO;11;RO_JARU;SIM;SIM
00051;1100122;JI PARANA;RO;11;RO_JI PARANA;SIM;SIM
00396;1100130;MACHADINHO D OESTE;RO;11;RO_MACHADINHO D OESTE;SIM;SIM
00370;1100148;NOVA BRASILANDIA D OESTE;RO;11;RO_NOVA BRASILANDIA D OESTE;SIM;SIM
00175;1100155;OURO PRETO DO OESTE;RO;11;RO_OURO PRETO DO OESTE;SIM;SIM
00116;1100189;PIMENTA BUENO;RO;11;RO_PIMENTA BUENO;SIM;SIM
00035;1100205;PORTO VELHO;RO;11;RO_PORTO VELHO;SIM;SIM
00191;1100254;PRESIDENTE MEDICI;RO;11;RO_PRESIDENTE MEDICI;SIM;SIM
00647;1100262;RIO CRESPO;RO;11;RO_RIO CRESPO;SIM;SIM
00299;1100288;ROLIM DE MOURA;RO;11;RO_ROLIM DE MOURA;SIM;SIM
00353;1100296;SANTA LUZIA D OESTE;RO;11;RO_SANTA LUZIA D OESTE;SIM;SIM
00132;1100304;VILHENA;RO;11;RO_VILHENA;SIM;SIM
00418;1100320;SAO MIGUEL DO GUAPORE;RO;11;RO_SAO MIGUEL DO GUAPORE;SIM;SIM
00434;1100338;NOVA MAMORE;RO;11;RO_NOVA MAMORE;SIM;SIM
00337;1100346;ALVORADA DO OESTE;RO;11;RO_ALVORADA DO OESTE;SIM;SIM
00736;1100379;ALTO ALEGRE DOS PARECIS;RO;11;RO_ALTO ALEGRE DOS PARECIS;SIM;SIM
00639;1100403;ALTO PARAISO;RO;11;RO_ALTO PARAISO;SIM;SIM
00779;1100452;BURITIS;RO;11;RO_BURITIS;SIM;SIM
00515;1100502;NOVO HORIZONTE DO OESTE;RO;11;RO_NOVO HORIZONTE DO OESTE;SIM;SIM
00620;1100601;CACAULANDIA;RO;11;RO_CACAULANDIA;SIM;SIM
00671;1100700;CAMPO NOVO DE RONDONIA;RO;11;RO_CAMPO NOVO DE RONDONIA;SIM;SIM
00477;1100809;CANDEIAS DO JAMARI;RO;11;RO_CANDEIAS DO JAMARI;SIM;SIM
00531;1100908;CASTANHEIRAS;RO;11;RO_CASTANHEIRAS;SIM;SIM
00809;1100924;CHUPINGUAIA;RO;11;RO_CHUPINGUAIA;SIM;SIM
00680;1100940;CUJUBIM;RO;11;RO_CUJUBIM;SIM;SIM
00612;1101005;GOVERNADOR JORGE TEIXEIRA;RO;11;RO_GOVERNADOR JORGE TEIXEIRA;SIM;SIM
00493;1101104;ITAPUA DO OESTE;RO;11;RO_ITAPUA DO OESTE;SIM;SIM
00604;1101203;MINISTRO ANDREAZZA;RO;11;RO_MINISTRO ANDREAZZA;SIM;SIM
00574;1101302;MIRANTE DA SERRA;RO;11;RO_MIRANTE DA SERRA;SIM;SIM
00663;1101401;MONTE NEGRO;RO;11;RO_MONTE NEGRO;SIM;SIM
00744;1101435;NOVA UNIAO;RO;11;RO_NOVA UNIAO;SIM;SIM
00701;1101450;PARECIS;RO;11;RO_PARECIS;SIM;SIM
00787;1101468;PIMENTEIRAS DO OESTE;RO;11;RO_PIMENTEIRAS DO OESTE;SIM;SIM
00728;1101476;PRIMAVERA DE RONDONIA;RO;11;RO_PRIMAVERA DE RONDONIA;SIM;SIM
00710;1101484;SAO FELIPE D OESTE;RO;11;RO_SAO FELIPE D OESTE;SIM;SIM
00795;1101492;SAO FRANCISCO DO GUAPORE;RO;11;RO_SAO FRANCISCO DO GUAPORE;SIM;SIM
00582;1101500;SERINGUEIRAS;RO;11;RO_SERINGUEIRAS;SIM;SIM
00752;1101559;TEIXEIROPOLIS;RO;11;RO_TEIXEIROPOLIS;SIM;SIM
00590;1101609;THEOBROMA;RO;11;RO_THEOBROMA;SIM;SIM
00566;1101708;URUPA;RO;11;RO_URUPA;SIM;SIM
00698;1101757;VALE DO ANARI;RO;11;RO_VALE DO ANARI;SIM;SIM
00558;1101807;VALE DO PARAISO;RO;11;RO_VALE DO PARAISO;SIM;SIM
01120;1200013;ACRELANDIA;AC;12;AC_ACRELANDIA;SIM;SIM
01570;1200054;ASSIS BRASIL;AC;12;AC_ASSIS BRASIL;SIM;SIM
01058;1200104;BRASILEIA;AC;12;AC_BRASILEIA;SIM;SIM
01007;1200138;BUJARI;AC;12;AC_BUJARI;SIM;SIM
01015;1200179;CAPIXABA;AC;12;AC_CAPIXABA;SIM;SIM
01074;1200203;CRUZEIRO DO SUL;AC;12;AC_CRUZEIRO DO SUL;SIM;SIM
01112;1200252;EPITACIOLANDIA;AC;12;AC_EPITACIOLANDIA;SIM;SIM
01139;1200302;FEIJO;AC;12;AC_FEIJO;SIM;SIM
01104;1200328;JORDAO;AC;12;AC_JORDAO;SIM;SIM
01090;1200336;MANCIO LIMA;AC;12;AC_MANCIO LIMA;SIM;SIM
01554;1200344;MANOEL URBANO;AC;12;AC_MANOEL URBANO;SIM;SIM
01040;1200351;MARECHAL TAUMATURGO;AC;12;AC_MARECHAL TAUMATURGO;SIM;SIM
01511;1200385;PLACIDO DE CASTRO;AC;12;AC_PLACIDO DE CASTRO;SIM;SIM
01066;1200393;PORTO WALTER;AC;12;AC_PORTO WALTER;SIM;SIM
01392;1200401;RIO BRANCO;AC;12;AC_RIO BRANCO;SIM;SIM
01082;1200427;RODRIGUES ALVES;AC;12;AC_RODRIGUES ALVES;SIM;SIM
01031;1200435;SANTA ROSA DO PURUS;AC;12;AC_SANTA ROSA DO PURUS;SIM;SIM
01538;1200450;SENADOR GUIOMARD;AC;12;AC_SENADOR GUIOMARD;SIM;SIM
01457;1200500;SENA MADUREIRA;AC;12;AC_SENA MADUREIRA;SIM;SIM
01473;1200609;TARAUACA;AC;12;AC_TARAUACA;SIM;SIM
01490;1200708;XAPURI;AC;12;AC_XAPURI;SIM;SIM
01023;1200807;PORTO ACRE;AC;12;AC_PORTO ACRE;SIM;SIM
02895;1300029;ALVARAES;AM;13;AM_ALVARAES;SIM;SIM
02917;1300060;AMATURA;AM;13;AM_AMATURA;SIM;SIM
