UF;Codmun6;Codmun7;Município;T_ANALF18M
11;110001;1100015;ALTA FLORESTA D'OESTE;13,00
11;110002;1100023;ARIQUEMES;8,53
11;110003;1100031;CABIXI;14,73
11;110004;1100049;CACOAL;8,94
11;110005;1100056;CEREJEIRAS;11,17
11;110006;1100064;COLORADO DO OESTE;13,41
11;110007;1100072;CORUMBIARA;13,55
11;110008;1100080;COSTA MARQUES;9,39
11;110009;1100098;ESPIGÃO D'OESTE;12,18
11;110010;1100106;GUAJARÁ-MIRIM;8,70
11;110011;1100114;JARU;11,49
11;110012;1100122;JI-PARANÁ;8,38
11;110013;1100130;MACHADINHO D'OESTE;12,85
11;110014;1100148;NOVA BRASILÂNDIA D'OESTE;12,31
11;110015;1100155;OURO PRETO DO OESTE;11,18
11;110018;1100189;PIMENTA BUENO;9,04
11;110020;1100205;PORTO VELHO;5,43
11;110025;1100254;PRESIDENTE MÉDICI;13,23
11;110026;1100262;RIO CRESPO;14,36
11;110028;1100288;ROLIM DE MOURA;9,74
11;110029;1100296;SANTA LUZIA D'OESTE;14,13
11;110030;1100304;VILHENA;6,52
11;110032;1100320;SÃO MIGUEL DO GUAPORÉ;11,84
11;110033;1100338;NOVA MAMORÉ;14,22
11;110034;1100346;ALVORADA D'OESTE;14,11
11;110037;1100379;ALTO ALEGRE DOS PARECIS;14,86
11;110040;1100403;ALTO PARAÍSO;12,83
11;110045;1100452;BURITIS;10,67
11;110050;1100502;NOVO HORIZONTE DO OESTE;15,68
11;110060;1100601;CACAULÂNDIA;14,34
11;110070;1100700;CAMPO NOVO DE RONDÔNIA;13,46
11;110080;1100809;CANDEIAS DO JAMARI;11,93
11;110090;1100908;CASTANHEIRAS;15,60
11;110092;1100924;CHUPINGUAIA;11,19
11;110094;1100940;CUJUBIM;13,01
11;110100;1101005;GOVERNADOR JORGE TEIXEIRA;14,64
11;110110;1101104;ITAPUÃ DO OESTE;14,24
11;110120;1101203;MINISTRO ANDREAZZA;13,93
11;110130;1101302;MIRANTE DA SERRA;14,71
11;110140;1101401;MONTE NEGRO;15,74
11;110143;1101435;NOVA UNIÃO;15,11
11;110145;1101450;PARECIS;16,03
11;110146;1101468;PIMENTEIRAS DO OESTE;10,40
11;110147;1101476;PRIMAVERA DE RONDÔNIA;14,63
11;110148;1101484;SÃO FELIPE D'OESTE;15,90
11;110149;1101492;SÃO FRANCISCO DO GUAPORÉ;10,42
11;110150;1101500;SERINGUEIRAS;11,41
11;110155;1101559;TEIXEIRÓPOLIS;14,04
11;110160;1101609;THEOBROMA;16,37
11;110170;1101708;URUPÁ;15,49
11;110175;1101757;VALE DO ANARI;16,45
11;110180;1101807;VALE DO PARAÍSO;14,13
12;120001;1200013;ACRELÂNDIA;17,11
12;120005;1200054;ASSIS BRASIL;22,42
